1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27,"25201","018002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇQíöñ⁄",626,16,16,-,-,45,87,3,8,33,134,12,16,24,36,25,32,55,5,38,20,37,339,11,11,-,-,40,58,2,4,28,55,6,9,16,8,7,12,15,4,26,16,22,287,5,5,-,-,5,29,1,4,5,79,6,7,8,28,18,20,40,1,12,4,15
28,"25201","018003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇRíöñ⁄",55,5,5,-,-,3,8,-,1,4,5,2,-,3,-,4,2,6,-,8,1,3,32,4,4,-,-,3,3,-,-,4,1,2,-,1,-,3,1,1,-,7,1,1,23,1,1,-,-,-,5,-,1,-,4,-,-,2,-,1,1,5,-,1,-,2
29,"25201","018004","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇSíöñ⁄",197,16,16,-,-,16,28,1,3,10,36,4,3,7,8,13,6,18,1,6,6,15,118,9,9,-,-,13,22,1,3,8,19,1,2,4,4,7,3,4,1,5,5,7,79,7,7,-,-,3,6,-,-,2,17,3,1,3,4,6,3,14,-,1,1,8
30,"25201","018005","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇTíöñ⁄",859,8,8,2,-,67,139,4,21,49,156,25,13,16,69,25,38,108,2,44,19,54,498,2,2,1,-,57,100,3,16,42,79,12,10,9,30,10,19,31,1,29,14,33,361,6,6,1,-,10,39,1,5,7,77,13,3,7,39,15,19,77,1,15,5,21
31,"25201","018006","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇUíöñ⁄",315,-,-,-,-,7,48,9,10,18,42,13,6,17,12,12,21,41,5,10,24,20,201,-,-,-,-,7,30,9,8,16,30,9,5,16,6,6,10,14,3,6,18,8,114,-,-,-,-,-,18,-,2,2,12,4,1,1,6,6,11,27,2,4,6,12
32,"25201","0240","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","",275,41,41,-,-,33,29,1,1,9,39,9,4,5,19,7,12,23,3,12,6,22,149,26,26,-,-,27,17,1,1,9,15,2,2,2,9,2,8,4,2,8,4,10,126,15,15,-,-,6,12,-,-,-,24,7,2,3,10,5,4,19,1,4,2,12
33,"25201","024001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇPíöñ⁄",249,39,39,-,-,28,26,1,1,9,34,8,4,5,14,7,12,22,3,10,6,20,135,25,25,-,-,22,16,1,1,9,14,2,2,2,5,2,8,4,2,7,4,9,114,14,14,-,-,6,10,-,-,-,20,6,2,3,9,5,4,18,1,3,2,11
34,"25201","024002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇQíöñ⁄",15,2,2,-,-,2,-,-,-,-,3,1,-,-,5,-,-,1,-,-,-,1,7,1,1,-,-,2,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,8,1,1,-,-,-,-,-,-,-,3,1,-,-,1,-,-,1,-,-,-,1
35,"25201","024003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇRíöñ⁄",11,-,-,-,-,3,3,-,-,-,2,-,-,-,-,-,-,-,-,2,-,1,7,-,-,-,-,3,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,4,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
36,"25201","0270","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,"25201","0280","2","","","","é†âÍåß","ëÂí√és","ê^ñÏç≤êÏí¨","",70,7,7,-,-,3,6,-,1,2,13,3,2,2,1,-,1,15,-,6,1,7,37,4,4,-,-,3,3,-,1,2,6,3,2,1,-,-,-,4,-,5,1,2,33,3,3,-,-,-,3,-,-,-,7,-,-,1,1,-,1,11,-,1,-,5
38,"25201","0290","2","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","",421,9,7,-,-,40,68,3,7,15,70,9,5,13,29,11,22,56,3,12,18,31,240,6,5,-,-,32,41,3,6,14,32,4,4,11,13,2,12,17,1,8,15,19,181,3,2,-,-,8,27,-,1,1,38,5,1,2,16,9,10,39,2,4,3,12
39,"25201","029001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇPíöñ⁄",412,8,6,-,-,40,68,3,6,15,69,9,5,13,27,11,22,56,3,12,18,27,235,5,4,-,-,32,41,3,5,14,31,4,4,11,12,2,12,17,1,8,15,18,177,3,2,-,-,8,27,-,1,1,38,5,1,2,15,9,10,39,2,4,3,9
40,"25201","029002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇQíöñ⁄",9,1,1,-,-,-,-,-,1,-,1,-,-,-,2,-,-,-,-,-,-,4,5,1,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3
