3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","éÂê¢ë—êî","","","","","","","","éÂê¢ë—êlàı","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","1ê¢ë—ìñÇΩÇËé∫êî","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","ëçé∫êî","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ésãÊí¨ë∫","í¨íöéö","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº"
27,"25201","018003","ëÂí√és","ê^ñÏÇRíöñ⁄",35,35,-,-,-,-,-,-,136,136,-,-,-,-,-,-,3.8857142857,3.8857142857,-,-,-,-,-,-,7.4571428571,7.4571428571,-,-,-,-,-,-,129.9142857143,129.9142857143,-,-,-,-,-,-,261,261,-,-,-,-,-,-,4547,4547,-,-,-,-,-,-
28,"25201","018004","ëÂí√és","ê^ñÏÇSíöñ⁄",103,91,2,9,6,3,-,1,388,361,2,23,16,7,-,2,3.7669902913,3.967032967,1,2.5555555556,2.6666666667,2.3333333333,-,2,7.145631068,7.6483516484,2,3.7777777778,3.6666666667,4,-,2,147.7087378641,161.7362637363,17,48.4444444444,35.1666666667,74.6666666667,-,26,736,696,4,34,22,12,-,2,15214,14718,34,436,211,224,-,26
29,"25201","018005","ëÂí√és","ê^ñÏÇTíöñ⁄",464,262,11,191,27,16,148,-,1388,863,30,495,59,23,413,-,2.9913793103,3.2938931298,2.7272727273,2.5916230366,2.1851851852,1.4375,2.7905405405,-,4.8017241379,5.7442748092,3.6363636364,3.5759162304,2.5185185185,2.0625,3.9324324324,-,88.9267241379,111.9007633588,52.4545454545,59.5183246073,35.4814814815,21.125,68.0540540541,-,2228,1505,40,683,68,33,582,-,41262,29318,577,11368,958,338,10072,-
30,"25201","018006","ëÂí√és","ê^ñÏÇUíöñ⁄",4,4,-,-,-,-,-,-,12,12,-,-,-,-,-,-,3,3,-,-,-,-,-,-,5,5,-,-,-,-,-,-,120,120,-,-,-,-,-,-,20,20,-,-,-,-,-,-,480,480,-,-,-,-,-,-
31,"25201","0200","ëÂí√és","ê^ñÏïÅñÂ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,"25201","0240","ëÂí√és","ê^ñÏïÅñÂ",164,154,-,10,10,-,-,-,615,591,-,24,24,-,-,-,3.75,3.8376623377,-,2.4,2.4,-,-,-,7.256097561,7.5324675325,-,3,3,-,-,-,143.6829268293,150.5584415584,-,37.8,37.8,-,-,-,1190,1160,-,30,30,-,-,-,23564,23186,-,378,378,-,-,-
33,"25201","024001","ëÂí√és","ê^ñÏïÅñÂÇPíöñ⁄",148,138,-,10,10,-,-,-,546,522,-,24,24,-,-,-,3.6891891892,3.7826086957,-,2.4,2.4,-,-,-,7.2702702703,7.5797101449,-,3,3,-,-,-,144.3918918919,152.115942029,-,37.8,37.8,-,-,-,1076,1046,-,30,30,-,-,-,21370,20992,-,378,378,-,-,-
34,"25201","024002","ëÂí√és","ê^ñÏïÅñÂÇQíöñ⁄",11,11,-,-,-,-,-,-,47,47,-,-,-,-,-,-,4.2727272727,4.2727272727,-,-,-,-,-,-,6.9090909091,6.9090909091,-,-,-,-,-,-,140.4545454545,140.4545454545,-,-,-,-,-,-,76,76,-,-,-,-,-,-,1545,1545,-,-,-,-,-,-
35,"25201","024003","ëÂí√és","ê^ñÏïÅñÂÇRíöñ⁄",5,5,-,-,-,-,-,-,22,22,-,-,-,-,-,-,4.4,4.4,-,-,-,-,-,-,7.6,7.6,-,-,-,-,-,-,129.8,129.8,-,-,-,-,-,-,38,38,-,-,-,-,-,-,649,649,-,-,-,-,-,-
36,"25201","0270","ëÂí√és","ê^ñÏÅ@ïÅñÂí¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
