3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","àÍî ê¢ë—êî","","","","","","","","","àÍî ê¢ë—êlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËé∫êî","","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","","ëçé∫êî","","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ésãÊí¨ë∫","í¨íöéö","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—"
24,"25201","0180","ëÂí√és","ê^ñÏ",1274,1274,1256,1042,-,192,22,18,-,4115,4115,4082,3616,-,409,57,33,-,3.2299843014,3.2299843014,3.25,3.4702495202,-,2.1302083333,2.5909090909,1.8333333333,-,-,5.2715855573,5.3200636943,5.8051823417,-,2.890625,3.5454545455,1.8888888889,-,-,99.8626373626,100.8343949045,112.3857965451,-,42.734375,60.8181818182,32.0555555556,-,-,6716,6682,6049,-,555,78,34,-,-,127225,126648,117106,-,8205,1338,577,-
25,"25201","018001","ëÂí√és","ê^ñÏÇPíöñ⁄",303,303,303,274,-,23,6,-,-,1016,1016,1016,946,-,50,20,-,-,3.3531353135,3.3531353135,3.3531353135,3.4525547445,-,2.1739130435,3.3333333333,-,-,-,5.5775577558,5.5775577558,5.8175182482,-,3.1739130435,3.8333333333,-,-,-,111.8778877888,111.8778877888,117.5401459854,-,56.9130434783,64,-,-,-,1690,1690,1594,-,73,23,-,-,-,33899,33899,32206,-,1309,384,-,-
26,"25201","018002","ëÂí√és","ê^ñÏÇQíöñ⁄",350,350,347,289,-,49,9,3,-,1145,1145,1142,1017,-,109,16,3,-,3.2714285714,3.2714285714,3.2910662824,3.5190311419,-,2.2244897959,1.7777777778,1,-,-,5.0057142857,5.0345821326,5.4429065744,-,3.1224489796,2.3333333333,1.6666666667,-,-,89.6314285714,90.0489913545,99.4325259516,-,43.6326530612,41.4444444444,41.6666666667,-,-,1752,1747,1573,-,153,21,5,-,-,31371,31247,28736,-,2138,373,125,-
27,"25201","018003","ëÂí√és","ê^ñÏÇRíöñ⁄",35,35,35,33,-,2,-,-,-,136,136,136,134,-,2,-,-,-,3.8857142857,3.8857142857,3.8857142857,4.0606060606,-,1,-,-,-,-,7.4571428571,7.4571428571,7.696969697,-,3.5,-,-,-,-,129.9142857143,129.9142857143,133.9696969697,-,63,-,-,-,-,261,261,254,-,7,-,-,-,-,4547,4547,4421,-,126,-,-,-
28,"25201","018004","ëÂí√és","ê^ñÏÇSíöñ⁄",104,104,103,87,-,14,2,1,-,389,389,388,347,-,32,9,1,-,3.7403846154,3.7403846154,3.7669902913,3.9885057471,-,2.2857142857,4.5,1,-,-,7.0865384615,7.145631068,7.7931034483,-,3.5,4.5,1,-,-,146.7692307692,147.7087378641,166.4942528736,-,42.6428571429,66,50,-,-,737,736,678,-,49,9,1,-,-,15264,15214,14485,-,597,132,50,-
29,"25201","018005","ëÂí√és","ê^ñÏÇTíöñ⁄",478,478,464,355,-,104,5,14,-,1417,1417,1388,1160,-,216,12,29,-,2.9644351464,2.9644351464,2.9913793103,3.2676056338,-,2.0769230769,2.4,2.0714285714,-,-,4.719665272,4.8017241379,5.4366197183,-,2.625,5,2,-,-,87.1652719665,88.9267241379,103.6028169014,-,38.7884615385,89.8,28.7857142857,-,-,2256,2228,1930,-,273,25,28,-,-,41665,41262,36779,-,4034,449,403,-
30,"25201","018006","ëÂí√és","ê^ñÏÇUíöñ⁄",4,4,4,4,-,-,-,-,-,12,12,12,12,-,-,-,-,-,3,3,3,3,-,-,-,-,-,-,5,5,5,-,-,-,-,-,-,120,120,120,-,-,-,-,-,-,20,20,20,-,-,-,-,-,-,480,480,480,-,-,-,-,-
31,"25201","0200","ëÂí√és","ê^ñÏïÅñÂ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,"25201","0240","ëÂí√és","ê^ñÏïÅñÂ",166,166,164,144,-,17,3,2,-,624,624,615,556,-,43,16,9,-,3.7590361446,3.7590361446,3.75,3.8611111111,-,2.5294117647,5.3333333333,4.5,-,-,7.2108433735,7.256097561,7.75,-,3.3529411765,5.6666666667,3.5,-,-,142.9337349398,143.6829268293,156.6458333333,-,44.2941176471,84.6666666667,81.5,-,-,1197,1190,1116,-,57,17,7,-,-,23727,23564,22557,-,753,254,163,-
33,"25201","024001","ëÂí√és","ê^ñÏïÅñÂÇPíöñ⁄",150,150,148,130,-,17,1,2,-,555,555,546,496,-,43,7,9,-,3.7,3.7,3.6891891892,3.8153846154,-,2.5294117647,7,4.5,-,-,7.22,7.2702702703,7.7923076923,-,3.3529411765,6,3.5,-,-,143.5533333333,144.3918918919,158.0307692308,-,44.2941176471,73,81.5,-,-,1083,1076,1013,-,57,6,7,-,-,21533,21370,20544,-,753,73,163,-
