1,"ïΩê¨17îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıÅCêeë∞êlàıãyÇ—1ê¢ë—ìñÇΩÇËêeë∞êlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„êeë∞ÇÃÇ¢ÇÈàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å|ì¡åfÅj"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
83,"25201","055204","îÈìΩínàÊ","055203","","ëÂí√és","óYã’ÇSíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
84,"25201","055205","","","","ëÂí√és","óYã’ÇTíöñ⁄",264,699,697,2.6401515152,27,78,70,34,196,630,629,3.2091836735,27,78,56,20,168,515,514,3.0595238095,22,62,37,20,55,110,110,2,-,-,24,20,93,357,357,3.8387096774,22,59,7,-,28,115,115,4.1071428571,5,16,19,-,1,2,1,1,-,-,-,-,67,67,67,1,-,-,14,14,20,89,89,4.45,5,15,15,-
85,"25201","055206","","","","ëÂí√és","óYã’ÇUíöñ⁄",266,533,522,1.962406015,27,43,85,67,149,407,405,2.7181208054,27,42,78,61,139,368,366,2.6330935252,25,39,70,59,76,152,152,2,-,-,61,58,53,193,191,3.6037735849,24,37,6,-,10,39,39,3.9,2,3,8,2,9,18,9,1,-,-,1,-,108,108,108,1,-,1,6,6,5,26,26,5.2,2,3,4,-
86,"25201","0610","","","","ëÂí√és","êÁñÏ",134,462,462,3.447761194,10,41,81,18,115,443,443,3.852173913,10,41,74,11,65,185,185,2.8461538462,3,11,30,11,21,42,42,2,-,-,12,11,38,131,131,3.4473684211,3,11,14,-,50,258,258,5.16,7,30,44,-,-,-,-,-,-,-,-,-,19,19,19,1,-,-,7,7,43,232,232,5.3953488372,7,29,41,-
87,"25201","061001","","","","ëÂí√és","êÁñÏÇPíöñ⁄",88,318,318,3.6136363636,7,28,53,9,74,304,304,4.1081081081,7,28,50,6,36,103,103,2.8611111111,2,5,15,6,13,26,26,2,-,-,7,6,20,71,71,3.55,2,5,6,-,38,201,201,5.2894736842,5,23,35,-,-,-,-,-,-,-,-,-,14,14,14,1,-,-,3,3,35,188,188,5.3714285714,5,23,34,-
88,"25201","061002","","","","ëÂí√és","êÁñÏÇQíöñ⁄",25,70,70,2.8,-,6,18,7,20,65,65,3.25,-,6,14,3,14,36,36,2.5714285714,-,2,10,3,4,8,8,2,-,-,3,3,8,24,24,3,-,2,5,-,6,29,29,4.8333333333,-,4,4,-,-,-,-,-,-,-,-,-,5,5,5,1,-,-,4,4,4,22,22,5.5,-,3,3,-
89,"25201","061003","","","","ëÂí√és","êÁñÏÇRíöñ⁄",21,74,74,3.5238095238,3,7,10,2,21,74,74,3.5238095238,3,7,10,2,15,46,46,3.0666666667,1,4,5,2,4,8,8,2,-,-,2,2,10,36,36,3.6,1,4,3,-,6,28,28,4.6666666667,2,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,22,22,5.5,2,3,4,-
90,"25201","0640","","","","ëÂí√és","ïcé≠",667,1470,1461,2.1904047976,56,131,178,82,337,1132,1131,3.3560830861,56,130,128,33,272,813,812,2.9852941176,44,100,75,33,90,180,180,2,-,-,45,33,147,549,549,3.7346938776,39,88,20,-,65,319,319,4.9076923077,12,30,53,-,8,16,8,1,-,-,1,-,322,322,322,1,-,1,49,49,53,280,280,5.2830188679,11,29,46,-
91,"25201","064001","","","","ëÂí√és","ïcé≠ÇPíöñ⁄",104,253,251,2.4134615385,13,18,35,15,65,212,212,3.2615384615,13,18,28,8,46,120,120,2.6086956522,8,12,14,8,21,42,42,2,-,-,10,8,18,63,63,3.5,7,11,2,-,19,92,92,4.8421052632,5,6,14,-,2,4,2,1,-,-,-,-,37,37,37,1,-,-,7,7,16,80,80,5,4,5,13,-
92,"25201","064002","","","","ëÂí√és","ïcé≠ÇQíöñ⁄",464,1106,1099,2.3685344828,43,112,139,66,266,902,901,3.3872180451,43,111,97,25,221,681,680,3.0769230769,36,88,59,25,66,132,132,2,-,-,34,25,127,480,480,3.7795275591,32,77,17,-,45,221,221,4.9111111111,7,23,38,-,6,12,6,1,-,-,1,-,192,192,192,1,-,1,41,41,36,194,194,5.3888888889,7,23,32,-
93,"25201","064003","","","","ëÂí√és","ïcé≠ÇRíöñ⁄",99,111,111,1.1212121212,-,1,4,1,6,18,18,3,-,1,3,-,5,12,12,2.4,-,-,2,-,3,6,6,2,-,-,1,-,2,6,6,3,-,-,1,-,1,6,6,6,-,1,1,-,-,-,-,-,-,-,-,-,93,93,93,1,-,-,1,1,1,6,6,6,-,1,1,-
94,"25201","0670","","","","ëÂí√és","ì˙ãgë‰",1528,4357,4349,2.8462041885,105,288,633,259,1362,4188,4183,3.0712187959,105,288,531,157,1183,3410,3406,2.8791208791,88,225,372,154,482,965,964,2,-,-,240,153,609,2229,2228,3.658456486,88,209,97,-,179,778,777,4.3407821229,17,63,159,3,3,6,3,1,-,-,-,-,163,163,163,1,-,-,102,102,126,616,615,4.880952381,16,62,116,-
95,"25201","067001","","","","ëÂí√és","ì˙ãgë‰ÇPíöñ⁄",380,1109,1107,2.9131578947,30,75,160,68,342,1070,1069,3.1257309942,30,75,138,46,295,862,861,2.9186440678,24,59,99,46,121,242,242,2,-,-,72,45,155,574,574,3.7032258065,24,58,19,-,47,208,208,4.4255319149,6,16,39,-,1,2,1,1,-,-,-,-,37,37,37,1,-,-,22,22,32,163,163,5.09375,6,16,27,-
96,"25201","067002","","","","ëÂí√és","ì˙ãgë‰ÇQíöñ⁄",369,1054,1051,2.8482384824,28,73,159,68,332,1016,1014,3.0542168675,28,73,133,42,300,873,872,2.9066666667,26,60,102,42,121,243,242,2,-,-,59,42,158,579,579,3.664556962,26,54,33,-,32,143,142,4.4375,2,13,31,-,1,2,1,1,-,-,-,-,36,36,36,1,-,-,26,26,23,114,113,4.9130434783,2,13,23,-
97,"25201","067003","","","","ëÂí√és","ì˙ãgë‰ÇRíöñ⁄",407,1151,1150,2.8255528256,26,71,156,59,364,1107,1107,3.0412087912,26,71,130,33,314,893,893,2.8439490446,21,52,86,31,133,266,266,2,-,-,53,31,156,567,567,3.6346153846,21,47,26,-,50,214,214,4.28,5,19,44,2,1,2,1,1,-,-,-,-,42,42,42,1,-,-,26,26,37,174,174,4.7027027027,4,18,34,-
98,"25201","067004","","","","ëÂí√és","ì˙ãgë‰ÇSíöñ⁄",372,1043,1041,2.7983870968,21,69,158,64,324,995,993,3.0648148148,21,69,130,36,274,782,780,2.8467153285,17,54,85,35,107,214,214,2,-,-,56,35,140,509,508,3.6285714286,17,50,19,-,50,213,213,4.26,4,15,45,1,-,-,-,-,-,-,-,-,48,48,48,1,-,-,28,28,34,165,165,4.8529411765,4,15,32,-
99,"25201","0710","","","","ëÂí√és","ç‚ñ{ñ{í¨",25,39,39,1.56,1,2,6,3,6,20,20,3.3333333333,1,2,3,-,4,12,12,3,1,1,1,-,1,2,2,2,-,-,-,-,2,8,8,4,1,1,-,-,2,8,8,4,-,1,2,-,-,-,-,-,-,-,-,-,19,19,19,1,-,-,3,3,1,5,5,5,-,1,1,-
100,"25201","0720","","","","ëÂí√és","ç‚ñ{",3497,9580,9541,2.7283385759,383,928,1463,677,2728,8792,8772,3.215542522,383,928,1122,337,2304,6815,6799,2.9509548611,311,718,756,324,751,1509,1502,2,-,-,433,319,1192,4412,4405,3.6954697987,286,601,199,-,424,1977,1973,4.6533018868,72,210,366,13,14,33,14,1,-,-,1,-,755,755,755,1,-,-,340,340,322,1674,1670,5.1863354037,71,204,288,-
