4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
1578,"25209","0050","çáéZínàÊÇ†ÇË","","0062","çbâÍés","éR",3120,33,3,1,1,257,1309,3,26,260,347,26,11,89,207,59,24,385,38,41,1862,22,3,1,1,225,904,3,20,216,123,5,7,25,32,27,18,177,24,29,1258,11,-,-,-,32,405,-,6,44,224,21,4,64,175,32,6,208,14,12
1579,"25209","0062","îÈìΩínàÊ","0050","","çbâÍés","Ç≥Ç¬Ç´Ç™ãu",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1580,"25209","0063","","","","çbâÍés","êÚ",223,1,-,-,-,21,70,-,-,19,30,3,1,4,26,4,7,33,2,2,125,1,-,-,-,18,47,-,-,13,10,1,1,2,5,1,4,21,1,-,98,-,-,-,-,3,23,-,-,6,20,2,-,2,21,3,3,12,1,2
1581,"25209","0064","","","","çbâÍés","ñkêÚ",274,3,2,-,-,13,122,1,-,14,45,1,-,1,21,9,2,27,11,2,184,3,2,-,-,9,92,1,-,13,28,1,-,1,5,3,-,16,8,2,90,-,-,-,-,4,30,-,-,1,17,-,-,-,16,6,2,11,3,-
1582,"25209","006401","","","","çbâÍés","ñkêÚÇPíöñ⁄",153,2,2,-,-,7,70,-,-,9,25,1,-,1,8,5,1,13,9,-,100,2,2,-,-,4,49,-,-,9,15,1,-,1,2,2,-,6,7,-,53,-,-,-,-,3,21,-,-,-,10,-,-,-,6,3,1,7,2,-
1583,"25209","006402","","","","çbâÍés","ñkêÚÇQíöñ⁄",121,1,-,-,-,6,52,1,-,5,20,-,-,-,13,4,1,14,2,2,84,1,-,-,-,5,43,1,-,4,13,-,-,-,3,1,-,10,1,2,37,-,-,-,-,1,9,-,-,1,7,-,-,-,10,3,1,4,1,-
1584,"25209","0065","","","","çbâÍés","êÚ",314,18,-,-,-,8,124,2,-,19,29,11,2,4,31,13,3,36,14,-,189,14,-,-,-,7,97,2,-,12,9,5,2,2,5,6,1,19,8,-,125,4,-,-,-,1,27,-,-,7,20,6,-,2,26,7,2,17,6,-
1585,"25209","0070","","","","çbâÍés","éêl",189,19,-,-,-,24,37,-,1,10,35,11,1,5,11,6,4,23,1,1,110,10,-,-,-,22,22,-,1,6,21,7,1,2,1,2,3,10,1,1,79,9,-,-,-,2,15,-,-,4,14,4,-,3,10,4,1,13,-,-
1586,"25209","0080","","","","çbâÍés","êA",66,5,-,-,1,2,20,-,-,3,9,4,-,-,1,4,-,11,6,-,37,3,-,-,-,1,11,-,-,2,2,3,-,-,-,2,-,8,5,-,29,2,-,-,1,1,9,-,-,1,7,1,-,-,1,2,-,3,1,-
1587,"25209","0090","","","","çbâÍés","âFìc",349,17,-,-,-,21,119,1,4,24,43,7,1,5,32,6,4,48,10,7,193,9,-,-,-,19,69,1,4,19,18,2,1,1,3,2,3,29,8,5,156,8,-,-,-,2,50,-,-,5,25,5,-,4,29,4,1,19,2,2
1588,"25209","0100","","","","çbâÍés","ñkòe",604,26,-,-,-,27,217,2,5,30,87,10,3,16,47,18,6,95,14,1,357,20,-,-,-,21,146,2,4,19,44,6,1,7,12,8,3,53,10,1,247,6,-,-,-,6,71,-,1,11,43,4,2,9,35,10,3,42,4,-
1589,"25209","0110","","","","çbâÍés","íéê∂ñÏ",640,21,-,-,-,38,186,4,6,26,87,23,8,17,70,35,9,67,37,6,393,13,-,-,-,32,142,3,5,24,34,13,6,8,20,13,7,40,29,4,247,8,-,-,-,6,44,1,1,2,53,10,2,9,50,22,2,27,8,2
1590,"25209","0121","","","","çbâÍés","ãMê∂êÏ",612,-,-,-,-,36,240,2,4,8,86,10,-,13,45,46,9,79,29,5,386,-,-,-,-,31,194,2,3,5,35,5,-,8,9,20,5,46,20,3,226,-,-,-,-,5,46,-,1,3,51,5,-,5,36,26,4,33,9,2
1591,"25209","012101","","","","çbâÍés","ãMê∂êÏàÍíöñ⁄",303,-,-,-,-,19,110,1,2,3,49,7,-,4,25,26,3,37,13,4,189,-,-,-,-,16,90,1,2,1,23,4,-,2,7,11,1,20,9,2,114,-,-,-,-,3,20,-,-,2,26,3,-,2,18,15,2,17,4,2
1592,"25209","012102","","","","çbâÍés","ãMê∂êÏìÒíöñ⁄",309,-,-,-,-,17,130,1,2,5,37,3,-,9,20,20,6,42,16,1,197,-,-,-,-,15,104,1,1,4,12,1,-,6,2,9,4,26,11,1,112,-,-,-,-,2,26,-,1,1,25,2,-,3,18,11,2,16,5,-
1593,"25209","0122","","","","çbâÍés","ãMê∂êÏ",418,7,-,-,-,10,106,4,9,17,56,10,3,6,39,21,5,94,23,8,242,6,-,-,-,8,76,4,6,14,25,7,3,2,9,7,4,52,15,4,176,1,-,-,-,2,30,-,3,3,31,3,-,4,30,14,1,42,8,4
1594,"25209","0130","","","","çbâÍés","íéê∂ñÏíÜâõ",253,6,-,-,-,17,94,-,1,3,35,4,4,9,19,19,8,24,7,3,166,4,-,-,-,13,79,-,1,3,21,1,2,4,5,5,7,15,5,1,87,2,-,-,-,4,15,-,-,-,14,3,2,5,14,14,1,9,2,2
1595,"25209","0140","","","","çbâÍés","ñkì‡ãM",188,14,-,-,-,10,41,-,4,3,27,3,1,11,16,5,4,34,12,3,106,9,-,-,-,9,26,-,4,1,12,2,1,4,-,2,1,22,10,3,82,5,-,-,-,1,15,-,-,2,15,1,-,7,16,3,3,12,2,-
1596,"25209","0150","","","","çbâÍés","âFêÏ",275,26,-,-,-,26,72,2,2,18,24,3,-,3,25,15,12,38,9,-,154,14,-,-,-,19,45,1,2,12,5,3,-,-,4,6,10,27,6,-,121,12,-,-,-,7,27,1,-,6,19,-,-,3,21,9,2,11,3,-
1597,"25209","0160","","","","çbâÍés","ä‚ç‚",35,2,-,-,-,-,8,-,-,1,8,-,-,2,3,5,1,4,1,-,21,1,-,-,-,-,6,-,-,1,4,-,-,1,-,4,1,2,1,-,14,1,-,-,-,-,2,-,-,-,4,-,-,1,3,1,-,2,-,-
1598,"25209","0170","","","","çbâÍés","çÇéR",79,8,-,-,-,5,26,-,-,3,9,1,-,3,9,-,1,9,5,-,44,5,-,-,-,4,19,-,-,2,1,1,-,2,2,-,1,3,4,-,35,3,-,-,-,1,7,-,-,1,8,-,-,1,7,-,-,6,1,-
1599,"25209","0180","","","","çbâÍés","éOëÂéõ",827,36,6,-,1,52,305,2,12,40,106,16,4,15,65,32,15,87,28,5,491,23,6,-,1,42,222,2,9,30,38,7,4,6,18,17,11,40,13,2,336,13,-,-,-,10,83,-,3,10,68,9,-,9,47,15,4,47,15,3
1600,"25209","0200","","","","çbâÍés","ãçéî",293,16,1,-,-,36,79,1,4,15,43,6,3,1,13,12,10,37,16,-,170,11,1,-,-,31,49,1,2,11,18,5,1,-,2,3,3,22,10,-,123,5,-,-,-,5,30,-,2,4,25,1,2,1,11,9,7,15,6,-
1601,"25209","0210","","","","çbâÍés","û[íÜ",165,10,-,-,-,7,60,-,5,8,20,1,1,3,10,6,4,24,6,-,92,9,-,-,-,6,32,-,4,7,9,-,1,-,1,3,1,14,5,-,73,1,-,-,-,1,28,-,1,1,11,1,-,3,9,3,3,10,1,-
1602,"25209","0220","","","","çbâÍés","éRè„",193,24,-,-,-,13,63,-,2,13,14,5,-,6,19,6,2,16,6,4,117,14,-,-,-,11,46,-,1,11,6,3,-,3,2,3,2,7,6,2,76,10,-,-,-,2,17,-,1,2,8,2,-,3,17,3,-,9,-,2
1603,"25209","0230","","","","çbâÍés","ìåñºç‚",840,8,-,-,-,45,380,2,4,34,74,16,4,21,39,16,6,163,15,13,576,7,-,-,-,36,298,2,4,29,36,4,3,7,17,8,2,103,11,9,264,1,-,-,-,9,82,-,-,5,38,12,1,14,22,8,4,60,4,4
1604,"25209","0240","","","","çbâÍés","ñºç‚",332,2,-,-,-,17,136,-,-,17,45,4,2,8,11,10,1,70,8,1,203,1,-,-,-,16,95,-,-,12,16,1,2,2,5,3,1,44,5,-,129,1,-,-,-,1,41,-,-,5,29,3,-,6,6,7,-,26,3,1
1605,"25209","0250","","","","çbâÍés","èºîˆ",845,22,-,-,-,53,311,2,4,47,126,14,2,24,86,28,8,85,32,1,488,13,-,-,-,41,236,2,2,37,50,4,1,7,9,13,4,48,20,1,357,9,-,-,-,12,75,-,2,10,76,10,1,17,77,15,4,37,12,-
1606,"25209","0260","","","","çbâÍés","íÜî®",80,15,-,-,-,7,16,-,2,4,8,7,-,-,6,3,1,8,-,3,49,10,-,-,-,6,9,-,1,3,4,4,-,-,2,1,1,7,-,1,31,5,-,-,-,1,7,-,1,1,4,3,-,-,4,2,-,1,-,2
1607,"25209","0270","","","","çbâÍés","êVèÈ",838,22,-,-,1,51,334,1,5,31,109,24,5,22,54,26,7,113,21,12,495,17,-,-,1,44,234,-,4,25,47,9,3,10,6,13,3,61,13,5,343,5,-,-,-,7,100,1,1,6,62,15,2,12,48,13,4,52,8,7
1608,"25209","0280","","","","çbâÍés","ç°ãΩ",190,22,-,-,1,17,68,1,2,5,21,2,1,1,11,8,5,14,11,-,112,14,-,-,1,13,42,1,2,5,9,-,-,1,-,6,4,8,6,-,78,8,-,-,-,4,26,-,-,-,12,2,1,-,11,2,1,6,5,-
1609,"25209","0290","","","","çbâÍés","õ“â„",240,23,-,-,-,25,68,-,2,10,33,5,-,7,7,7,7,26,11,9,139,15,-,-,-,21,45,-,2,6,13,3,-,1,-,2,3,14,9,5,101,8,-,-,-,4,23,-,-,4,20,2,-,6,7,5,4,12,2,4
1610,"25209","0300","","","","çbâÍés","òañÏ",195,29,-,-,-,15,61,-,3,4,26,7,1,2,8,5,8,14,10,2,110,16,-,-,-,14,36,-,1,3,10,5,1,2,2,1,4,7,7,1,85,13,-,-,-,1,25,-,2,1,16,2,-,-,6,4,4,7,3,1
1611,"25209","0310","","","","çbâÍés","èHót",76,1,-,-,-,5,21,-,-,4,13,1,-,1,8,6,2,11,-,3,44,-,-,-,-,5,14,-,-,3,7,-,-,1,3,2,2,6,-,1,32,1,-,-,-,-,7,-,-,1,6,1,-,-,5,4,-,5,-,2
1612,"25209","0320","","","","çbâÍés","å≥í¨",203,1,-,-,-,6,65,1,1,13,40,5,5,6,18,8,1,29,4,-,118,1,-,-,-,5,41,-,1,12,23,1,2,4,7,-,-,18,3,-,85,-,-,-,-,1,24,1,-,1,17,4,3,2,11,8,1,11,1,-
1613,"25209","0330","","","","çbâÍés","ãûí¨",146,-,-,-,-,11,35,-,-,4,33,2,1,6,22,6,2,20,3,1,86,-,-,-,-,8,26,-,-,4,19,2,1,2,6,3,2,11,1,1,60,-,-,-,-,3,9,-,-,-,14,-,-,4,16,3,-,9,2,-
1614,"25209","0340","","","","çbâÍés","ñ{í¨",463,2,-,-,-,23,89,1,4,14,108,6,2,26,83,15,7,63,10,10,245,2,-,-,-,14,66,1,4,13,50,4,1,9,23,5,3,38,8,4,218,-,-,-,-,9,23,-,-,1,58,2,1,17,60,10,4,25,2,6
1615,"25209","034001","","","","çbâÍés","ñ{í¨ÇPíöñ⁄",143,-,-,-,-,12,29,-,1,3,54,2,-,4,9,7,3,15,3,1,80,-,-,-,-,6,22,-,1,3,27,2,-,1,1,3,1,10,3,-,63,-,-,-,-,6,7,-,-,-,27,-,-,3,8,4,2,5,-,1
1616,"25209","034002","","","","çbâÍés","ñ{í¨ÇQíöñ⁄",188,1,-,-,-,4,35,1,1,7,31,2,-,9,61,4,2,24,6,-,83,1,-,-,-,3,21,1,1,6,10,1,-,1,20,-,-,14,4,-,105,-,-,-,-,1,14,-,-,1,21,1,-,8,41,4,2,10,2,-
1617,"25209","034003","","","","çbâÍés","ñ{í¨ÇRíöñ⁄",132,1,-,-,-,7,25,-,2,4,23,2,2,13,13,4,2,24,1,9,82,1,-,-,-,5,23,-,2,4,13,1,1,7,2,2,2,14,1,4,50,-,-,-,-,2,2,-,-,-,10,1,1,6,11,2,-,10,-,5
1618,"25209","0370","","","","çbâÍés","ê_ñæ",178,6,1,-,-,11,68,6,1,5,23,2,1,2,9,12,1,25,-,5,102,3,1,-,-,8,42,6,-,3,14,1,-,1,1,4,-,14,-,4,76,3,-,-,-,3,26,-,1,2,9,1,1,1,8,8,1,11,-,1
1619,"25209","0380","","","","çbâÍés","çÇíÀ",299,4,1,-,-,14,96,2,2,11,42,11,3,10,24,20,4,45,10,-,165,3,1,-,-,11,62,2,1,7,20,7,1,2,3,6,3,29,7,-,134,1,-,-,-,3,34,-,1,4,22,4,2,8,21,14,1,16,3,-
1620,"25209","0390","","","","çbâÍés","ã≈",121,-,-,-,-,13,41,-,1,4,14,2,4,8,10,5,1,8,4,6,69,-,-,-,-,12,26,-,1,3,8,2,2,3,1,2,1,3,2,3,52,-,-,-,-,1,15,-,-,1,6,-,2,5,9,3,-,5,2,3
1621,"25209","0400","","","","çbâÍés","èºâh",74,5,-,-,-,4,14,-,1,-,18,2,1,1,8,6,1,10,1,2,40,2,-,-,-,3,8,-,1,-,9,-,1,1,3,2,-,7,1,2,34,3,-,-,-,1,6,-,-,-,9,2,-,-,5,4,1,3,-,-
1622,"25209","0410","","","","çbâÍés","é≠ê[",114,-,-,-,-,3,27,-,1,1,26,2,1,9,21,3,4,14,1,1,63,-,-,-,-,1,20,-,1,1,14,1,1,4,5,1,2,10,1,1,51,-,-,-,-,2,7,-,-,-,12,1,-,5,16,2,2,4,-,-
1623,"25209","0420","","","","çbâÍés","ã{ÇÃëO",40,2,-,-,-,2,15,-,-,1,7,1,-,3,4,1,-,3,1,-,22,1,-,-,-,2,11,-,-,1,4,-,-,1,-,-,-,2,-,-,18,1,-,-,-,-,4,-,-,-,3,1,-,2,4,1,-,1,1,-
1624,"25209","0430","","","","çbâÍés","êVí¨",177,6,-,-,-,7,47,-,-,4,30,2,1,7,10,8,2,45,6,2,100,5,-,-,-,5,36,-,-,3,13,-,-,3,2,5,2,22,2,2,77,1,-,-,-,2,11,-,-,1,17,2,1,4,8,3,-,23,4,-
1625,"25209","043001","","","","çbâÍés","êVí¨ÇPíöñ⁄",83,5,-,-,-,-,20,-,-,-,13,-,1,4,5,6,-,29,-,-,47,4,-,-,-,-,16,-,-,-,6,-,-,2,1,3,-,15,-,-,36,1,-,-,-,-,4,-,-,-,7,-,1,2,4,3,-,14,-,-
1626,"25209","043002","","","","çbâÍés","êVí¨ÇQíöñ⁄",94,1,-,-,-,7,27,-,-,4,17,2,-,3,5,2,2,16,6,2,53,1,-,-,-,5,20,-,-,3,7,-,-,1,1,2,2,7,2,2,41,-,-,-,-,2,7,-,-,1,10,2,-,2,4,-,-,9,4,-
1627,"25209","0450","","","","çbâÍés","í©ì˙Ç™ãu",112,-,-,-,-,7,34,-,-,6,21,1,1,4,6,5,1,16,4,6,64,-,-,-,-,6,20,-,-,5,9,1,1,3,3,2,1,8,2,3,48,-,-,-,-,1,14,-,-,1,12,-,-,1,3,3,-,8,2,3
1628,"25209","0460","","","","çbâÍés","å√èÈÇ™ãu",247,2,-,-,-,13,76,-,3,14,52,4,3,7,19,17,3,27,4,3,142,1,-,-,-,10,51,-,3,12,20,2,2,4,6,8,3,16,3,1,105,1,-,-,-,3,25,-,-,2,32,2,1,3,13,9,-,11,1,2
1629,"25209","0470","","","","çbâÍés","ñ{àªñÏ",71,-,-,-,-,3,16,-,-,1,18,1,-,2,6,2,-,2,20,-,49,-,-,-,-,3,13,-,-,1,11,1,-,1,-,-,-,-,19,-,22,-,-,-,-,-,3,-,-,-,7,-,-,1,6,2,-,2,1,-
1630,"25209","0480","","","","çbâÍés","àªñÏ",81,-,-,-,-,2,16,-,2,1,14,2,5,7,7,5,1,16,2,1,42,-,-,-,-,2,10,-,1,1,6,2,2,4,2,1,1,8,2,-,39,-,-,-,-,-,6,-,1,-,8,-,3,3,5,4,-,8,-,1
1631,"25209","0490","","","","çbâÍés","î™ç‚",182,3,-,-,-,18,39,-,2,8,26,8,2,13,17,7,-,35,4,-,100,1,-,-,-,15,30,-,1,5,9,5,1,6,6,1,-,17,3,-,82,2,-,-,-,3,9,-,1,3,17,3,1,7,11,6,-,18,1,-
1632,"25209","0500","","","","çbâÍés","î™åı",118,15,-,-,-,1,31,-,-,5,22,4,2,4,6,9,4,10,5,-,69,8,-,-,-,-,21,-,-,5,11,2,2,3,3,3,1,6,4,-,49,7,-,-,-,1,10,-,-,-,11,2,-,1,3,6,3,4,1,-
1633,"25209","0510","","","","çbâÍés","èÈìå",178,3,-,-,-,5,46,-,1,4,42,4,1,2,14,15,2,28,10,1,103,3,-,-,-,4,35,-,1,4,20,3,1,1,3,5,1,16,5,1,75,-,-,-,-,1,11,-,-,-,22,1,-,1,11,10,1,12,5,-
1634,"25209","0520","","","","çbâÍés","î~Ç™ãu",213,5,-,-,-,9,59,1,3,10,32,5,2,13,20,3,3,29,18,1,128,4,-,-,-,8,38,-,2,8,18,3,1,5,5,2,3,15,16,-,85,1,-,-,-,1,21,1,1,2,14,2,1,8,15,1,-,14,2,1
1635,"25209","0530","","","","çbâÍés","èÈì‡",198,3,-,-,-,9,65,-,-,7,40,4,3,8,11,7,2,35,4,-,113,2,-,-,-,7,45,-,-,6,16,3,2,2,5,4,1,18,2,-,85,1,-,-,-,2,20,-,-,1,24,1,1,6,6,3,1,17,2,-
1636,"25209","0540","","","","çbâÍés","ñ{ä€",198,2,-,-,-,15,52,1,1,10,29,6,-,8,18,12,7,31,6,-,115,1,-,-,-,11,36,1,1,9,17,4,-,5,4,5,3,13,5,-,83,1,-,-,-,4,16,-,-,1,12,2,-,3,14,7,4,18,1,-
1637,"25209","0550","","","","çbâÍés","íÜì@",196,6,-,-,-,15,56,-,2,6,32,3,1,3,10,10,4,42,4,2,110,4,-,-,-,12,34,-,2,3,14,1,1,1,3,4,2,23,4,2,86,2,-,-,-,3,22,-,-,3,18,2,-,2,7,6,2,19,-,-
1638,"25209","0560","","","","çbâÍés","ì˙ìd",64,2,-,-,-,2,23,-,-,-,12,-,-,-,4,2,-,17,-,2,36,1,-,-,-,2,14,-,-,-,3,-,-,-,1,1,-,13,-,1,28,1,-,-,-,-,9,-,-,-,9,-,-,-,3,1,-,4,-,1
1639,"25209","0570","","","","çbâÍés","ìåó—å˚",74,3,-,-,-,8,20,-,2,2,12,1,-,3,4,3,1,10,3,2,44,1,-,-,-,7,13,-,2,1,5,1,-,1,2,2,1,5,2,1,30,2,-,-,-,1,7,-,-,1,7,-,-,2,2,1,-,5,1,1
1640,"25209","0580","","","","çbâÍés","êºó—å˚",239,2,-,-,-,8,107,1,2,13,32,2,-,7,22,6,2,26,8,1,139,1,-,-,-,8,69,1,2,10,12,-,-,2,7,1,2,17,6,1,100,1,-,-,-,-,38,-,-,3,20,2,-,5,15,5,-,9,2,-
1641,"25209","0591","","","","çbâÍés","ìIèÍ",97,1,-,-,-,7,31,1,1,3,21,3,-,1,9,1,1,10,7,-,57,1,-,-,-,6,23,1,-,2,13,-,-,-,2,-,-,6,3,-,40,-,-,-,-,1,8,-,1,1,8,3,-,1,7,1,1,4,4,-
1642,"25209","0592","","","","çbâÍés","êÖå˚",534,9,1,-,-,30,157,1,2,21,86,5,4,21,38,15,5,91,42,6,306,5,1,-,-,28,110,1,1,17,38,2,3,7,4,2,2,49,34,2,228,4,-,-,-,2,47,-,1,4,48,3,1,14,34,13,3,42,8,4
1643,"25209","0600","","","","çbâÍés","ñºç‚",328,11,-,-,-,14,126,1,1,8,40,4,5,12,21,6,6,57,7,9,203,8,-,-,-,12,91,1,1,7,21,-,3,5,4,1,5,33,4,7,125,3,-,-,-,2,35,-,-,1,19,4,2,7,17,5,1,24,3,2
1644,"25209","0610","","","","çbâÍés","ç˘Ç™ãu",179,-,-,-,-,1,122,-,-,6,7,-,1,3,2,1,-,36,-,-,147,-,-,-,-,1,110,-,-,5,1,-,-,2,-,-,-,28,-,-,32,-,-,-,-,-,12,-,-,1,6,-,1,1,2,1,-,8,-,-
1645,"25209","0620","","","","çbâÍés","ìÏó—å˚",114,1,-,-,-,7,38,1,2,7,7,1,3,8,8,7,2,20,2,-,72,-,-,-,-,6,27,1,2,6,5,-,2,4,1,3,2,11,2,-,42,1,-,-,-,1,11,-,-,1,2,1,1,4,7,4,-,9,-,-
1646,"25209","0630","","","","çbâÍés","î∫íÜéR",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1647,"25209","0640","","","","çbâÍés","ètì˙",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1648,"25209","0650","","","","çbâÍés","ñkì‡ãM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1649,"25209","0660","","","","çbâÍés","ëÂâÕå¥",89,1,4,-,-,8,34,-,-,2,5,2,-,5,6,3,1,16,1,1,46,1,3,-,-,7,19,-,-,2,3,-,-,-,1,-,-,8,1,1,43,-,1,-,-,1,15,-,-,-,2,2,-,5,5,3,1,8,-,-
1650,"25209","0670","","","","çbâÍés","àºâÕ",275,16,7,-,-,21,114,1,-,9,25,3,-,7,14,10,14,26,8,-,160,11,7,-,-,18,64,1,-,7,13,2,-,1,1,5,7,15,8,-,115,5,-,-,-,3,50,-,-,2,12,1,-,6,13,5,7,11,-,-
1651,"25209","0680","","","","çbâÍés","çïëÍ",44,-,-,-,-,6,21,-,-,1,2,-,-,-,4,-,2,6,1,1,28,-,-,-,-,6,12,-,-,1,1,-,-,-,1,-,2,3,1,1,16,-,-,-,-,-,9,-,-,-,1,-,-,-,3,-,-,3,-,-
1652,"25209","0690","","","","çbâÍés","çïêÏ",252,11,-,-,1,18,93,1,2,19,27,5,-,4,19,6,11,27,8,-,145,7,-,-,-,16,53,-,2,18,12,3,-,-,4,1,7,15,7,-,107,4,-,-,1,2,40,1,-,1,15,2,-,4,15,5,4,12,1,-
1653,"25209","0700","","","","çbâÍés","íñï@",44,2,-,-,-,3,20,-,-,4,3,-,-,-,4,-,1,5,2,-,27,2,-,-,-,2,14,-,-,4,1,-,-,-,-,-,-,2,2,-,17,-,-,-,-,1,6,-,-,-,2,-,-,-,4,-,1,3,-,-
1654,"25209","0710","","","","çbâÍés","éRíÜ",94,21,-,-,-,8,30,-,-,4,4,2,1,1,8,1,2,9,3,-,53,13,-,-,-,5,20,-,-,2,-,-,1,-,-,1,2,7,2,-,41,8,-,-,-,3,10,-,-,2,4,2,-,1,8,-,-,2,1,-
1655,"25209","0720","","","","çbâÍés","ç˘òH",52,8,-,-,-,1,20,-,-,-,7,2,-,1,1,1,3,7,1,-,27,4,-,-,-,-,13,-,-,-,2,1,-,-,-,-,3,3,1,-,25,4,-,-,-,1,7,-,-,-,5,1,-,1,1,1,-,4,-,-
1656,"25209","0730","","","","çbâÍés","éRèóå¥",43,3,-,-,-,4,17,-,-,2,2,-,-,2,4,4,-,5,-,-,23,2,-,-,-,4,11,-,-,2,-,-,-,-,2,-,-,2,-,-,20,1,-,-,-,-,6,-,-,-,2,-,-,2,2,4,-,3,-,-
1657,"25209","0740","","","","çbâÍés","ìÏìyéR",746,32,-,-,-,46,317,-,1,20,91,7,1,49,57,21,7,77,19,1,474,18,-,-,-,39,246,-,1,16,48,4,1,28,9,5,4,42,12,1,272,14,-,-,-,7,71,-,-,4,43,3,-,21,48,16,3,35,7,-
1658,"25209","0750","","","","çbâÍés","ñkìyéR",1106,32,7,-,-,106,383,1,1,73,150,12,3,29,87,28,19,144,29,2,650,23,6,-,-,86,249,1,1,58,67,3,2,12,20,11,15,75,19,2,456,9,1,-,-,20,134,-,-,15,83,9,1,17,67,17,4,69,10,-
1659,"25209","0760","","","","çbâÍés","ïΩéq",58,27,-,-,-,1,16,-,-,1,5,-,-,-,5,3,-,-,-,-,28,14,-,-,-,1,8,-,-,1,3,-,-,-,-,1,-,-,-,-,30,13,-,-,-,-,8,-,-,-,2,-,-,-,5,2,-,-,-,-
1660,"25209","0770","","","","çbâÍés","ê£Émâπ",103,25,-,-,-,4,33,-,-,2,9,-,-,2,8,4,1,8,6,1,56,13,-,-,-,4,18,-,-,1,4,-,-,-,4,3,-,4,5,-,47,12,-,-,-,-,15,-,-,1,5,-,-,2,4,1,1,4,1,1
1661,"25209","0780","","","","çbâÍés","ê¬ìy",89,12,-,-,-,7,33,-,1,4,8,1,-,1,5,-,4,10,3,-,52,7,-,-,-,5,22,-,1,4,3,1,-,-,-,-,3,5,1,-,37,5,-,-,-,2,11,-,-,-,5,-,-,1,5,-,1,5,2,-
1662,"25209","0790","","","","çbâÍés","ñÏè„ñÏ",136,12,1,-,-,9,45,-,-,14,11,-,1,-,14,3,7,15,4,-,80,6,1,-,-,7,30,-,-,11,6,-,-,-,3,1,5,7,3,-,56,6,-,-,-,2,15,-,-,3,5,-,1,-,11,2,2,8,1,-
