平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"第 2-45表　都道府県別年齢調整死亡率（人口10万対）,自殺・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,,,女,,,,,,,,,,,
,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27
,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
自殺,,,,,,,,,,,,,,,,,,,,,,,,
46　鹿児島,31.3,26.6,25.2,27.2,32.7,36.1,28.3,29.8,36.4,35.5,31.1,23.5,18.7,14.4,14.7,15.5,14.7,15.2,12.7,11,11,9.8,8.8,7.7
47　沖　縄,… ,… ,… ,23,27.5,27.8,29.1,35.7,42.4,39.4,36.2,28.6,… ,… ,… ,9.7,7.4,10.7,9.8,6.3,11.1,8.7,12.8,8.5
21大都市（再掲）,,,,,,,,,,,,,,,,,,,,,,,,
50　東京都区部,28.3,16.2,18,20.8,20.9,21.6,17.9,19.5,30.1,26.8,27.1,20.3,20.2,11.6,13.6,14,11.8,12.3,9.4,9.6,12.3,11.2,12,9.1
51　札　幌,… ,… ,… ,20.9,21.8,25.7,18.5,18.5,36.6,34.6,29.2,21.2,… ,… ,… ,16.9,11.9,10.9,7.1,6.7,11.1,11,11.4,8.4
52　仙　台,… ,… ,… ,… ,… ,… ,18.7,16.6,25.3,33.3,26.2,21,… ,… ,… ,… ,… ,… ,10.3,9.4,10.3,11.5,8,9.3
53　さいたま,… ,… ,… ,… ,… ,… ,… ,… ,…,23,27.3,21.2,… ,… ,… ,… ,… ,… ,… ,… ,…,12.8,10.2,8.2
54　千　葉,… ,… ,… ,… ,… ,… ,… ,18.7,22.3,29.9,29.4,24.5,… ,… ,… ,… ,… ,… ,… ,8.9,8.8,9.2,9.9,10.6
55　横　浜,30.2,18.5,18,21.1,20.4,21.8,15.9,16.9,24.3,23.8,26.8,17.7,19.6,9.9,10.2,15.6,9.4,10.8,10.3,9.9,10.4,9,11.4,9.2
56　川　崎,… ,… ,… ,23.2,22,22.4,16.9,21.3,27.8,21.8,25.4,19.2,… ,… ,… ,15.1,11.4,10.8,8.9,9,9.8,9.7,12.4,9.6
57　相模原,… ,… ,… ,… ,… ,… ,… ,… ,…,…,26.4,20.8,… ,… ,… ,… ,… ,… ,… ,… ,…,…,8,12.6
58　新　潟,… ,… ,… ,… ,… ,… ,… ,… ,…,…,33.5,25.6,… ,… ,… ,… ,… ,… ,… ,… ,…,…,9.3,9.7
59　静　岡,… ,… ,… ,… ,… ,… ,… ,… ,…,25.1,29.4,25,… ,… ,… ,… ,… ,… ,… ,… ,…,9.1,10.4,7.6
60　浜　松,… ,… ,… ,… ,… ,… ,… ,… ,…,…,24.3,20.1,… ,… ,… ,… ,… ,… ,… ,… ,…,…,10.9,7.4
61　名古屋,23.1,18.9,18.6,27.5,19.1,22.3,15.6,17.5,28.2,27.9,25.7,20.7,19.4,14.9,16,18.3,13.2,12.2,10.5,8.9,10.8,10.4,9.4,9.5
62　京　都,30.7,19,21.3,22.5,24,23.4,17.3,20.5,32.6,26,30.3,20.1,25.6,17.6,15.1,17.3,14.9,13.3,12.4,8.1,11.7,12,10.2,9.2
63　大　阪,35.2,26,24.4,31.5,27.6,24.7,24.6,23.7,39,32.9,34.1,26.7,27.2,17.5,17.8,21.5,15.6,11.5,9.1,9.8,13,14.3,15.5,10.4
64　  堺　　　,… ,… ,… ,… ,… ,… ,… ,… ,…,…,30,23.1,… ,… ,… ,… ,… ,… ,… ,… ,…,…,14.8,11.1
65　神　戸,37,20.5,21.4,30.6,28.1,27.1,23,20,30,32,28.8,23.1,25.2,19.5,17.6,19.3,15.7,13.3,10.4,10.1,13.2,10.7,13.4,11.3
66  岡　山,… ,… ,… ,… ,… ,… ,… ,… ,…,…,29,21.9,… ,… ,… ,… ,… ,… ,… ,… ,…,…,7.4,8.4
67　広　島,… ,… ,… ,… ,… ,22.9,20.1,20.2,26.6,25,28.4,18.6,… ,… ,… ,… ,… ,8.4,9.3,8,9.9,7.7,9.5,9.2
68　北九州,… ,18.4,21,28.1,24.4,30.6,23.2,22.3,33.6,36.5,31.9,23,… ,9,11.1,14.7,13,11.8,11.1,6.8,10.4,9.4,11.9,9.2
69　福　岡,… ,… ,… ,25.5,23.7,29,19.3,21,33.6,32.2,31,21.2,… ,… ,… ,13.8,11.9,13.5,10.6,7.6,10.6,11,11.6,7.4
70　熊　本,…,…,…,…,…,…,…,…,…,…,…,21.6,…,…,…,…,…,…,…,…,…,…,…,9
