年,地域,男,女
1985,21　岐　阜,193.4,108.4
1985,22　静　岡,189.8,102.6
1985,23　愛　知,199.8,115.1
1985,24　三　重,186.9,103.2
1985,25　滋　賀,195,109.9
1985,26　京　都,218.1,119.5
1985,27　大　阪,259.5,129.3
1985,28　兵　庫,228.1,116.1
1985,29　奈　良,232,119.2
1985,30　和歌山,231.9,114.6
1985,31　鳥　取,210.3,110.6
1985,32　島　根,198.2,100.2
1985,33　岡　山,201,103.7
1985,34　広　島,212.2,110.4
1985,35　山　口,207.8,106.1
1985,36　徳　島,203.9,104.8
1985,37　香　川,206.5,109
1985,38　愛　媛,198.8,105.3
1985,39　高　知,197.1,94.6
1985,40　福　岡,242,126.6
1985,41　佐　賀,236,112.8
1985,42　長　崎,251.8,125.3
1985,43　熊　本,200.5,107.6
1985,44　大　分,208.8,105.4
1985,45　宮　崎,205.4,104.9
1985,46　鹿児島,207.9,100.8
1985,47　沖　縄,183.6,82.5
1990,全　　国,215.6,107.7
1990,01　北海道,226.1,113.3
1990,02　青　森,234.8,105.1
1990,03　岩　手,202.1,103.1
1990,04　宮　城,219.9,108.1
1990,05　秋　田,236.1,110.1
1990,06　山　形,219,104.3
1990,07　福　島,219.1,105.3
1990,08　茨　城,202.7,106
1990,09　栃　木,207.8,106.6
1990,10　群　馬,177.4,95
1990,11　埼　玉,210.5,107.7
1990,12　千　葉,205.4,105.5
1990,13　東　京,219.5,115.3
1990,14　神奈川,212,110.3
1990,15　新　潟,215.2,106.1
1990,16　富　山,218.9,111.6
1990,17　石　川,206.7,107.3
1990,18　福　井,193.6,106.6
1990,19　山　梨,197.2,99.3
1990,20　長　野,178.8,93.5
1990,21　岐　阜,196.8,104.7
1990,22　静　岡,193.1,98.9
1990,23　愛　知,206.3,109
1990,24　三　重,191.1,98.2
1990,25　滋　賀,199.1,109.7
1990,26　京　都,217.1,111
1990,27　大　阪,258,122.8
1990,28　兵　庫,231.2,111.7
1990,29　奈　良,231.2,106.2
1990,30　和歌山,238.7,104.5
1990,31　鳥　取,230.4,100.4
1990,32　島　根,208.3,93.7
1990,33　岡　山,198.6,97.8
1990,34　広　島,213.3,105
1990,35　山　口,213.8,100.2
1990,36　徳　島,211.8,104.2
1990,37　香　川,203,99.4
1990,38　愛　媛,203.4,100.9
1990,39　高　知,191.9,96.6
1990,40　福　岡,241.1,117.5
1990,41　佐　賀,240.3,115.8
1990,42　長　崎,245.6,118.2
1990,43　熊　本,211.9,101.2
1990,44　大　分,206.7,100
1990,45　宮　崎,207.7,98.9
1990,46　鹿児島,202.5,98.1
1990,47　沖　縄,195.4,86.5
1995,全　　国,226.1,108.3
1995,01　北海道,235.3,111.5
1995,02　青　森,247.3,110.3
1995,03　岩　手,209.7,102.4
1995,04　宮　城,226.4,108.7
1995,05　秋　田,238.9,110.9
1995,06　山　形,215.2,103.6
1995,07　福　島,221.3,98
1995,08　茨　城,217.2,104.5
1995,09　栃　木,218.6,102.6
1995,10　群　馬,201.5,101.5
1995,11　埼　玉,220,109.8
1995,12　千　葉,219.9,105.6
1995,13　東　京,231.1,116.3
1995,14　神奈川,226.7,113.6
1995,15　新　潟,225,108.7
1995,16　富　山,212.5,103.1
1995,17　石　川,215.4,105
1995,18　福　井,201.3,95.3
1995,19　山　梨,205.1,103.9
1995,20　長　野,182.2,95.6
1995,21　岐　阜,203.6,110.5
1995,22　静　岡,207.2,95.7
1995,23　愛　知,221.8,109.4
1995,24　三　重,208.3,98.1
1995,25　滋　賀,217.7,107.4
1995,26　京　都,230.4,105.6
1995,27　大　阪,263.4,124.8
1995,28　兵　庫,248.5,113.6
1995,29　奈　良,237.2,107.4
